fileName,columnName,columnLabel,columnType,optional,columnDesc,key,foreignKeyFile,foreignKeyColumn
variables,variable,The name of the variable,string,FALSE,,,,
variables,role,The different processes that the variable was part of during the algorithm development,string,TRUE,,,,
variables,variableType,The statistical type of the variable,category,FALSE,,,,
variables,databaseStart,The databases that the variable can be harmonized from,string,FALSE,,,,
variables,variableStart,The names of the variable for each starting database,string,FALSE,,,,
variables,units,The units for the variable,string,FALSE,,,,
variables,label,A short description of the variable,string,FALSE,,,,
variables,labelLong,A long description of the variable,string,FALSE,,,,
variables,description,Should contain any issues that need to be taken into account before using this variable,string,FALSE,,,,
variable-details,variable,The name of the variable,string,FALSE,,,,
variable-details,dummyVariable,The name of the dummy variable. Not valid if the variable is continuous.,string,FALSE,,,,
variable-details,typeEnd,The type of the variable,category,FALSE,,,,
variable-details,databaseStart,The starting databases whose harmonization details this row contains,string,FALSE,,,,
variable-details,variableStart,The names of the variable for each starting database,string,FALSE,,,,
variable-details,typeStart,The type of the starting variables,category,FALSE,,,,
variable-details,recEnd,The value that the variable will be harmonized to. Can be a number or an interval.,string,FALSE,,,,
variable-details,catLabel,The description for the category.,string,FALSE,,,,
variable-details,catLabelLong,A longer description for the category.,string,FALSE,,,,
variable-details,numValidCat,The number of valid categories for the variables.,number,FALSE,,,,
variable-details,units,The units for the variable. Only for continuous variables.,string,FALSE,,,,
variable-details,recStart,The value of the starting variable to harmonize from. Can be a single value or an interval.,string,FALSE,,,,
variable-details,catStartLabel,The description for the category of the start variable.,string,FALSE,,,,
variable-details,variableStartShortLabel,A short description of the starting variables,string,FALSE,,,,
variable-details,variableStartLabel,A long description of the starting variables,string,FALSE,,,,
variable-details,notes,Any issues/problems that users of this variable should consider. Can also include any problems encountered during harmonization.,string,TRUE,,,,
descriptive,variable,The variable whose descriptive statistics the row contains,string,FALSE,,,,
descriptive,catValue,The value of the category whose descriptive statistics the row contains. N/A for continuous variables.,number,FALSE,,,,
descriptive,n,The number of individuals used to calculate the row's statistics,number,TRUE,,,,
descriptive,proportion,The proportion of all the individuals in the study used to calculate this row's statistics,number,TRUE,,,,
descriptive,median,The median statistic,number,TRUE,,,,
model-export,fileType,The type of file,category,FALSE,,,,
model-export,filePath,The path to the file relative to the model export file,string,FALSE,,,,
model-steps,step,The type of step to perform,category,FALSE,,,,
model-steps,fileType,The type of file referenced in the file path column,category,FALSE,,,,
model-steps,filePath,The path to the file relative to the model location of the model steps file,string,FALSE,,,,
model-steps,notes,Any notes for the future,string,FALSE,,,,
dummy,origVariable,The name of the variable to dummy,string,FALSE,,,,
dummy,catValue,The category value in the original variable which the dummy variable represents,string,FALSE,,,,
dummy,dummyVariable,The name of the dummy variable,string,FALSE,,,,
center,origVariable,The name of the variable to center,string,FALSE,,,,
center,centerValue,The value to center with,string,FALSE,,,,
center,centeredVariable,The name of the new centered variable,string,FALSE,,,,
interaction,interactionVariable,The name of the interaction variable,string,FALSE,,,,
interaction,interactingVariables,The names of the variables that are part of this interaction variable,string,FALSE,,,,
interaction,interactionVariableType,The statistical type of the interaction variable,category,FALSE,,,,
rcs,variable,The name of the variable which will be splined,string,FALSE,,,,
rcs,rcsVariables,The names of the spline variables in correct order,string,FALSE,,,,
rcs,knots,The knot values to use seperated by a semi-colon,string,FALSE,,,,
validate,variable,The name of the variable to validate,string,FALSE,,,,
validate,rule,The type of validation rule to apply to a variable,category,FALSE,,,,
validate,value,The value to use when applying the validation,string,FALSE,,,,
validate,error_handle,How to handle failed validations,category,FALSE,,,,
validate,error_replace,Value to replace variables that fail validations whose errorHandle value is warning,string,FALSE,,,,
validate,location,Which step in the scoring process the validation should be used,string,FALSE,,,,
beta-coefficients,variable,The name of the variable whose beta coefficient the row contains,string,FALSE,,,,
beta-coefficients,coefficient,The beta coefficient,number,FALSE,,,,
beta-coefficients,type,The statistical type of the variable,category,FALSE,,,,
baseline-hazards,time,The time upto which the baseline hazard should be used,number,FALSE,,,,
baseline-hazards,baselineHazard,The baseline hazard value,number,FALSE,,,,
survival_bins,catValue,The bin number,number,FALSE,,,,
lookup,catValue,The bin number,number,FALSE,,,,
lookup,range,The range if score values for this bin. Should use the mathematical range notation.,string,FALSE,,,,
tables,tableName,The name of the table,string,FALSE,,,,
tables,tablePath,The path to the table relative to this file,string,FALSE,,,,
simple-model,name,The name of the metadata,category,FALSE,,,,
simple-model,value,The value of the metadata,string,FALSE,,,,
