fileName,fileLabel,fileDesc
variables,Contains all the variables needed for algorithm development and implementation,
variable-details,Contains the details for the variables defined in a variables sheet,
descriptive-lookup,Contains the score range that each bin belongs to,
descriptive-statistics,"Contains descriptive information, for example mean, median etc. for variables",
model-export,Contains the list of all files that are part of the export for an algorithm,
model-steps,Contains the steps to score an algorithm,
dummy,Contains the variables to convert to dummy variables,
center,Contains the variables to create centered variables,
interaction,Contains the interaction variables for an algorithm,
rcs,Contains the RCS variables for an algorithm,
validate,Contains the validation rules for variables in the algorithm,
