variable,role,label,labelLong,section,subject,typeEnd,units,description
Sex,"predictor, descriptive-statistics",Sex,Sex,About You,Sex,cat,NA,
Age_cont,"predictor, descriptive-statistics",Age,Age in years,About You,Age,cont,years,
Age_cat_5,"predictor, descriptive-statistics",Age,"Age, 10 year groups",About You,Age,cont,years,
Edu5,"predictor, descriptive-statistics",Education,Education,Sociodemographic,Education,cat,NA,
MS4,predictor,Marital Status,Marital Status,Sociodemographic,Marital Status,cat,NA,
Stress,predictor,Stress,Life stress,General Health,Stress,cat,NA,
SmokeSimple,predictor,Smoking Status,Smoking status,Health Behaviours,Smoking,cont,NA,
PackYears_cont,predictor,Packyears Smoking,Packyears of smoking,Health Behaviours,Smoking,cont,packyears,
DrinksLastWeek_cont,predictor,Drinks Last Week,Drinks consumed last week,Health Behaviours,Alcohol,cont,drinks per week,
FormerDrinker,predictor,Former Drinker,Former drinker (Yes/No),Health Behaviours,Alcohol,cat,NA,
FruitVeg_cont,predictor,Daily Fruit and Vegetables,"Average daily consumption of fruit, salad, potato, carrots, vegetables",Health Behaviours,Diet,cont,per day,
Potato_cont,predictor,Daily Potato,Average daily consumption of potato,Health Behaviours,Diet,cont,per day,
Juice_cont,predictor,Daily Juice,"Average daily consumption of juice, with max",Health Behaviours,Diet,cont,per day,
PhysicalActivity_cont,predictor,Physical Activity,Average daily leisure time energy expenditure in METs,Health Behaviours,Diet,cont,per day,
HeartDis_cat,predictor,Heart Disease,Has heart disease,General Health,Health Conditions,cat,NA,
Stroke_cat,predictor,Stroke,Suffers from effects of a previous stroke,General Health,Health Conditions,cat,NA,
Diabetes_cat,outcome,Diabetes,Diabetes,General Health,Health Conditions,cat,NA,
Mood_cat,predictor,Has a mood disorder,Has a mood disorder,General Health,Health Conditions,cat,NA,
Hypertension_cat,predictor,Has hypertension,Has hypertension,General Health,Health Conditions,cat,NA,
COPD_cat,predictor,Has COPD,"Has COPD, emphysema or chronic bronchitis",General Health,Health Conditions,cat,NA,
Epilepsy_cat,predictor,Epilepsy,Has epilepsy,General Health,Health Conditions,cat,NA,
BMI_cont,predictor,Body mass index,Body mass index,General Health,BMI,cont,kg/m2,
NeedHelp,predictor,Number of tasks needing assistance,Number of tasks needing assistance,General Health,Instrumental Activities of Daily Living,cat,NA,
Survey Cycle,predictor,Survey Cycle,CCHS Survey Cycle,Design,Design,cat,NA,
